COUNTRY;ADJACENT
MADAGASCAR;SEYCHELLES
MADEIRA;MOROCCO
MADEIRA;SPAIN
MALAYSIA;BRUNEI
MALAYSIA;INDONESIA
MALAYSIA;PHILIPPINES
MALAYSIA;SINGAPORE
MALAYSIA;THAILAND
MALAYSIA;VIETNAM
MALDIVES;BRITISH INDIAN OCEAN TERRITORY
MALDIVES;INDIA
MALDIVES;SRI LANKA
MALTA;ITALY
MALTA;LIBYA
MARSHALL ISLANDS;KIRIBATI
MARSHALL ISLANDS;FEDERATED STATES OF MICRONESIA
MARSHALL ISLANDS;NAURU
MARSHALL ISLANDS;WAKE ISLAND
MARTINIQUE;BARBADOS
MARTINIQUE;DOMINICA
MARTINIQUE;SAINT LUCIA
MARTINIQUE;VENEZUELA
MAURITANIA;CAPE VERDE
MAURITANIA;SENEGAL
MAURITANIA;WESTERN SAHARA
MAURITIUS;RÉUNION
MAURITIUS;SEYCHELLES
MAURITIUS;TROMELIN ISLAND
MAYOTTE;COMOROS
MAYOTTE;MADAGASCAR
MEXICO;BELIZE
MEXICO;CUBA
MEXICO;GUATEMALA
MEXICO;HONDURAS
MEXICO;UNITED STATES
MONACO;FRANCE
MONTENEGRO;ALBANIA
MONTENEGRO;CROATIA
MONTENEGRO;ITALY
MONTSERRAT;ANTIGUA AND BARBUDA
MONTSERRAT;GUADELOUPE
MONTSERRAT;SAINT KITTS AND NEVIS
MONTSERRAT;VENEZUELA
MOROCCO;ALGERIA
MOROCCO;MADEIRA
MOROCCO;PORTUGAL
MOROCCO;SPAIN
MOROCCO;WESTERN SAHARA
MOZAMBIQUE;COMOROS
MOZAMBIQUE;ANTARCTICA
MOZAMBIQUE;MADAGASCAR
MOZAMBIQUE;RÉUNION
MOZAMBIQUE;SOUTH AFRICA
MOZAMBIQUE;TANZANIA
NAMIBIA;ANGOLA
NAMIBIA;SOUTH AFRICA
NAURU;KIRIBATI
NAURU;MARSHALL ISLANDS
NAVASSA ISLAND;CUBA
NAVASSA ISLAND;HAITI
NAVASSA ISLAND;JAMAICA
NETHERLANDS;ANGUILLA
NETHERLANDS;BELGIUM
NETHERLANDS;GERMANY
NETHERLANDS;UNITED KINGDOM
NETHERLANDS;VENEZUELA
NETHERLANDS;SAINT BARTHÉLEMY
NETHERLANDS;SAINT MARTIN
NETHERLANDS;SAINT KITTS AND NEVIS
NETHERLANDS;UNITED STATES VIRGIN ISLANDS
NEW CALEDONIA;AUSTRALIA
NEW CALEDONIA;FIJI
NEW CALEDONIA;NORFOLK ISLAND
NEW CALEDONIA;PAPUA NEW GUINEA
NEW CALEDONIA;SOLOMON ISLANDS
NEW CALEDONIA;VANUATU
NEW ZEALAND;AUSTRALIA
NEW ZEALAND;FIJI
NEW ZEALAND;MACQUARIE ISLAND
NEW ZEALAND;NORFOLK ISLAND
NEW ZEALAND;TONGA
NICARAGUA;COLOMBIA
NICARAGUA;COSTA RICA
NICARAGUA;EL SALVADOR
NICARAGUA;HONDURAS
NIGERIA;BENIN
NIGERIA;CAMEROON
NIGERIA;EQUATORIAL GUINEA
NIGERIA;GHANA
NIGERIA;SÃO TOMÉ AND PRÍNCIPE
NIUE;AMERICAN SAMOA
NIUE;COOK ISLANDS
NIUE;TONGA
NORFOLK ISLAND;NEW CALEDONIA
NORFOLK ISLAND;NEW ZEALAND
NORTH KOREA;CHINA
NORTH KOREA;JAPAN
NORTH KOREA;SOUTH KOREA
NORTH KOREA;RUSSIA
NORTHERN CYPRUS;CYPRUS
NORTHERN CYPRUS;SYRIA
NORTHERN CYPRUS;TURKEY
NORTHERN MARIANA ISLANDS;JAPAN
NORWAY;DENMARK
NORWAY;FAROE ISLANDS
NORWAY;RUSSIA
NORWAY;SWEDEN
NORWAY;UNITED KINGDOM
OMAN;IRAN
OMAN;PAKISTAN
OMAN;UNITED ARAB EMIRATES
OMAN;YEMEN
PAKISTAN;INDIA
PAKISTAN;IRAN
PAKISTAN;OMAN
PALAU;INDONESIA
PALAU;FEDERATED STATES OF MICRONESIA
PALAU;PHILIPPINES
PALESTINIAN TERRITORIES;EGYPT
PALESTINIAN TERRITORIES;ISRAEL
PALMYRA ATOLL;KIRIBATI
PANAMA;COLOMBIA
PANAMA;COSTA RICA
PAPUA NEW GUINEA;AUSTRALIA
PAPUA NEW GUINEA;INDONESIA
PAPUA NEW GUINEA;FEDERATED STATES OF MICRONESIA
PAPUA NEW GUINEA;NEW CALEDONIA
PAPUA NEW GUINEA;SOLOMON ISLANDS
PERU;CHILE
PERU;ECUADOR
PETER I ISLAND;ANTARCTICA
PHILIPPINES;CHINA
PHILIPPINES;INDONESIA
PHILIPPINES;JAPAN
PHILIPPINES;MALAYSIA
PHILIPPINES;PALAU
PHILIPPINES;VIETNAM
PITCAIRN ISLANDS;FRENCH POLYNESIA
POLAND;DENMARK
POLAND;GERMANY
POLAND;RUSSIA
POLAND;SWEDEN
PORTUGAL;MOROCCO
PORTUGAL;SPAIN
PUERTO RICO;BRITISH VIRGIN ISLANDS
PUERTO RICO;DOMINICAN REPUBLIC
PUERTO RICO;VENEZUELA
QATAR;BAHRAIN
QATAR;IRAN
QATAR;SAUDI ARABIA
QATAR;UNITED ARAB EMIRATES
QUEEN MAUD LAND;ANTARCTICA
QUEEN MAUD LAND;ANTARCTICA
RÉUNION;COMOROS
RÉUNION;MADAGASCAR
RÉUNION;MAURITIUS
RÉUNION;MOZAMBIQUE
ROMANIA;BULGARIA
ROMANIA;TURKEY
ROMANIA;UKRAINE
ROSS DEPENDENCY;ANTARCTICA
RUSSIA;AZERBAIJAN
RUSSIA;ESTONIA
RUSSIA;FINLAND
RUSSIA;GEORGIA
RUSSIA;JAPAN
RUSSIA;KAZAKHSTAN
RUSSIA;NORTH KOREA
RUSSIA;LITHUANIA
RUSSIA;NORWAY
RUSSIA;POLAND
RUSSIA;SWEDEN
RUSSIA;TURKEY
RUSSIA;UKRAINE
RUSSIA;UNITED STATES
SAINT BARTHÉLEMY;ANTIGUA AND BARBUDA
SAINT BARTHÉLEMY;NETHERLANDS
SAINT BARTHÉLEMY;SAINT KITTS AND NEVIS
SAINT BARTHÉLEMY;SINT MAARTEN
SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA;VENEZUELA
SAINT KITTS AND NEVIS;ANTIGUA AND BARBUDA
SAINT KITTS AND NEVIS;MONTSERRAT
SAINT KITTS AND NEVIS;NETHERLANDS
SAINT KITTS AND NEVIS;SAINT BARTHÉLEMY
SAINT KITTS AND NEVIS;VENEZUELA
SAINT LUCIA;BARBADOS
SAINT LUCIA;MARTINIQUE
SAINT LUCIA;SAINT VINCENT AND THE GRENADINES
SAINT LUCIA;VENEZUELA
SAINT MARTIN;NETHERLANDS
SAINT MARTIN;ANGUILLA
SAINT MARTIN;SINT MAARTEN
SAINT PIERRE AND MIQUELON;CANADA
SAINT VINCENT AND THE GRENADINES;BARBADOS
SAINT VINCENT AND THE GRENADINES;GRENADA
SAINT VINCENT AND THE GRENADINES;SAINT LUCIA
SAINT VINCENT AND THE GRENADINES;TRINIDAD AND TOBAGO
SAINT VINCENT AND THE GRENADINES;VENEZUELA
SAMOA;AMERICAN SAMOA
SAMOA;TOKELAU
SAMOA;TONGA
SAMOA;WALLIS AND FUTUNA
SÃO TOMÉ AND PRÍNCIPE;EQUATORIAL GUINEA
SÃO TOMÉ AND PRÍNCIPE;GABON
SÃO TOMÉ AND PRÍNCIPE;NIGERIA
SAUDI ARABIA;BAHRAIN
SAUDI ARABIA;EGYPT
SAUDI ARABIA;ERITREA
SAUDI ARABIA;IRAN
SAUDI ARABIA;JORDAN
SAUDI ARABIA;KUWAIT
SAUDI ARABIA;QATAR
SAUDI ARABIA;SUDAN
SAUDI ARABIA;UNITED ARAB EMIRATES
SAUDI ARABIA;YEMEN
SENEGAL;CAPE VERDE
SENEGAL;THE GAMBIA
SENEGAL;GUINEA-BISSAU
SENEGAL;MAURITANIA
SEYCHELLES;COMOROS
SEYCHELLES;GLORIOSO ISLANDS
SEYCHELLES;MADAGASCAR
SEYCHELLES;MAURITIUS
SEYCHELLES;TANZANIA
SIERRA LEONE;GUINEA
SIERRA LEONE;LIBERIA
SINGAPORE;INDONESIA
SINGAPORE;MALAYSIA
SINT MAARTEN;UNITED STATES VIRGIN ISLANDS
SINT MAARTEN;VENEZUELA
SINT MAARTEN;SAINT BARTHÉLEMY
SINT MAARTEN;SAINT MARTIN
SLOVENIA;CROATIA
SLOVENIA;ITALY
SOLOMON ISLANDS;AUSTRALIA
SOLOMON ISLANDS;NEW CALEDONIA
SOLOMON ISLANDS;PAPUA NEW GUINEA
SOLOMON ISLANDS;VANUATU
SOMALIA;DJIBOUTI
SOMALIA;KENYA
SOMALIA;YEMEN
SOMALILAND;DJIBOUTI
SOMALILAND;SOMALIA
SOMALILAND;YEMEN
SOUTH AFRICA;MOZAMBIQUE
SOUTH AFRICA;NAMIBIA
SOUTH KOREA;CHINA
SOUTH KOREA;JAPAN
SOUTH KOREA;NORTH KOREA
SPAIN;ALGERIA
SPAIN;FRANCE
SPAIN;GIBRALTAR
SPAIN;ITALY
SPAIN;MADEIRA
SPAIN;MOROCCO
SPAIN;PORTUGAL
SPAIN;WESTERN SAHARA
SRI LANKA;INDIA
SRI LANKA;MALDIVES
SUDAN;EGYPT
SUDAN;ERITREA
SUDAN;SAUDI ARABIA
SURINAME;FRENCH GUIANA
SURINAME;GUYANA
SVALBARD;GREENLAND
SVALBARD;RUSSIA
SWEDEN;DENMARK
SWEDEN;ESTONIA
SWEDEN;FINLAND
SWEDEN;GERMANY
SWEDEN;LATVIA
SWEDEN;LITHUANIA
SWEDEN;NORWAY
SWEDEN;POLAND
SWEDEN;RUSSIA
SYRIA;CYPRUS
SYRIA;LEBANON
SYRIA;TURKEY
TAIWAN;CHINA
TAIWAN;JAPAN
TAIWAN;PHILIPPINES
TANZANIA;COMOROS
TANZANIA;KENYA
TANZANIA;MOZAMBIQUE
TANZANIA;SEYCHELLES
THAILAND;BURMA
THAILAND;CAMBODIA
THAILAND;INDIA
THAILAND;INDONESIA
THAILAND;MALAYSIA
THAILAND;VIETNAM
THE GAMBIA;CAPE VERDE
THE GAMBIA;SENEGAL
TOGO;BENIN
TOGO;GHANA
TOKELAU;WALLIS AND FUTUNA
TOKELAU;AMERICAN SAMOA
TOKELAU;COOK ISLANDS
TOKELAU;KIRIBATI
TOKELAU;SAMOA
TOKELAU;WALLIS AND FUTUNA
TONGA;AMERICAN SAMOA
TONGA;FIJI
TONGA;NEW ZEALAND
TONGA;NIUE
TONGA;SAMOA
TONGA;WALLIS AND FUTUNA
TRINIDAD AND TOBAGO;BARBADOS
TRINIDAD AND TOBAGO;GRENADA
TRINIDAD AND TOBAGO;GUYANA
TRINIDAD AND TOBAGO;SAINT VINCENT AND THE GRENADINES
TRINIDAD AND TOBAGO;VENEZUELA
TROMELIN ISLAND;MADAGASCAR
TROMELIN ISLAND;MAURITIUS
TUNISIA;ALGERIA
TUNISIA;ITALY
TUNISIA;LIBYA
TURKEY;BULGARIA
TURKEY;CYPRUS
TURKEY;EGYPT
TURKEY;GEORGIA
TURKEY;GREECE
TURKEY;ROMANIA
TURKEY;RUSSIA
TURKEY;SYRIA
TURKEY;UKRAINE
TURKMENISTAN;AZERBAIJAN
TURKMENISTAN;IRAN
TURKMENISTAN;KAZAKHSTAN
TURKS AND CAICOS ISLANDS;BAHAMAS
TURKS AND CAICOS ISLANDS;DOMINICAN REPUBLIC
TURKS AND CAICOS ISLANDS;HAITI
TUVALU;FIJI
TUVALU;KIRIBATI
TUVALU;WALLIS AND FUTUNA
UKRAINE;GEORGIA
UKRAINE;ROMANIA
UKRAINE;RUSSIA
UKRAINE;TURKEY
UNITED ARAB EMIRATES;IRAN
UNITED ARAB EMIRATES;OMAN
UNITED ARAB EMIRATES;QATAR
UNITED ARAB EMIRATES;SAUDI ARABIA
UNITED KINGDOM;BELGIUM
UNITED KINGDOM;DENMARK
UNITED KINGDOM;FAROE ISLANDS
UNITED KINGDOM;FRANCE
UNITED KINGDOM;GERMANY
UNITED KINGDOM;IRELAND
UNITED KINGDOM;NETHERLANDS
UNITED KINGDOM;NORWAY
UNITED STATES;BAHAMAS
UNITED STATES;CANADA
UNITED STATES;CUBA
UNITED STATES;MEXICO
UNITED STATES;RUSSIA
UNITED STATES VIRGIN ISLANDS;ANGUILLA
UNITED STATES VIRGIN ISLANDS;BRITISH VIRGIN ISLANDS
UNITED STATES VIRGIN ISLANDS;NETHERLANDS
UNITED STATES VIRGIN ISLANDS;VENEZUELA
URUGUAY;ARGENTINA
URUGUAY;BRAZIL
VANUATU;FIJI
VANUATU;NEW CALEDONIA
VANUATU;SOLOMON ISLANDS
VENEZUELA;ARUBA
VENEZUELA;COLOMBIA
VENEZUELA;CURAÇAO
VENEZUELA;DOMINICA
VENEZUELA;DOMINICAN REPUBLIC
VENEZUELA;GUADELOUPE
VENEZUELA;GUYANA
VENEZUELA;MARTINIQUE
VENEZUELA;MONTSERRAT
VENEZUELA;PUERTO RICO
VENEZUELA;SAINT KITTS AND NEVIS
VENEZUELA;SAINT LUCIA
VENEZUELA;SAINT VINCENT AND THE GRENADINES
VENEZUELA;TRINIDAD AND TOBAGO
VENEZUELA;UNITED STATES VIRGIN ISLANDS
VIETNAM;CAMBODIA
VIETNAM;CHINA
VIETNAM;INDONESIA
VIETNAM;MALAYSIA
VIETNAM;PHILIPPINES
VIETNAM;THAILAND
WAKE ISLAND;MARSHALL ISLANDS
WALLIS AND FUTUNA;SAMOA
WALLIS AND FUTUNA;SEYCHELLES
WALLIS AND FUTUNA;SINT MAARTEN
WALLIS AND FUTUNA;SOLOMON ISLANDS
WALLIS AND FUTUNA;SPAIN
WALLIS AND FUTUNA;SURINAME
WALLIS AND FUTUNA;TOKELAU
WALLIS AND FUTUNA;TONGA
WALLIS AND FUTUNA;TUVALU
WALLIS AND FUTUNA;UNITED KINGDOM
WALLIS AND FUTUNA;VANUATU
WALLIS AND FUTUNA;VENEZUELA
WALLIS AND FUTUNA;FIJI
WALLIS AND FUTUNA;SAMOA
WALLIS AND FUTUNA;TOKELAU
WALLIS AND FUTUNA;TONGA
WALLIS AND FUTUNA;TUVALU
WESTERN SAHARA;MAURITANIA
WESTERN SAHARA;MOROCCO
WESTERN SAHARA;SPAIN
YEMEN;DJIBOUTI
YEMEN;ERITREA
YEMEN;OMAN
YEMEN;SAUDI ARABIA
YEMEN;SOMALIA
